# t	k	i(0)	i(1)	i(2)	o(0)	o(1)	o(2)	i	o
0	0	44	52	50	41	51	51	146	143
0	1	84	91	91	84	83	92	266	259
0	2	97	80	92	90	96	87	269	273
0	3	53	58	57	67	60	51	168	178
0	4	30	29	30	36	25	38	89	99
0	5	18	17	12	7	12	11	47	30
0	6	4	5	1	5	5	2	10	12
0	7	2	1	1	2	1	2	4	5
0	8	0	0	0	1	0	0	0	1
0	9	0	0	0	0	0	0	0	0
0	10	1	0	0	0	0	0	1	0


30.0031	0	15	18	15	42	46	56	48	144
30.0031	1	101	100	110	92	87	82	311	261
30.0031	2	139	132	113	95	96	81	384	272
30.0031	3	52	53	49	70	60	47	154	177
30.0031	4	27	34	17	34	34	30	78	98
30.0031	5	10	4	5	8	15	9	19	32
30.0031	6	2	3	1	4	4	3	6	11
30.0031	7	0	0	0	1	2	1	0	4
30.0031	8	0	0	0	0	0	1	0	1


60.0056	0	24	12	18	40	35	69	54	144
60.0056	1	94	89	122	95	70	96	305	261
60.0056	2	100	111	149	72	99	105	360	276
60.0056	3	66	60	74	54	51	69	200	174
60.0056	4	13	21	25	25	31	42	59	98
60.0056	5	7	6	8	14	9	10	21	33
60.0056	6	0	0	1	2	1	6	1	9
60.0056	7	0	0	0	2	2	0	0	4
60.0056	8	0	0	0	0	1	0	0	1


90.0075	0	18	19	14	67	51	26	51	144
90.0075	1	117	130	85	93	89	85	332	267
90.0075	2	130	130	76	114	94	64	336	272
90.0075	3	82	58	50	70	66	36	190	172
90.0075	4	41	13	15	35	41	22	69	98
90.0075	5	10	8	2	15	11	7	20	33
90.0075	6	1	1	0	3	6	0	2	9
90.0075	7	0	0	0	1	1	2	0	4
90.0075	8	0	0	0	1	0	0	0	1


120	0	12	21	20	47	48	50	53	145
120	1	106	106	108	78	100	91	320	269
120	2	104	125	139	81	90	98	368	269
120	3	52	61	59	52	66	57	172	175
120	4	19	25	18	34	28	34	62	96
120	5	9	11	4	6	10	16	24	32
120	6	0	0	0	2	6	1	0	9
120	7	0	1	0	2	1	1	1	4
120	8	0	0	0	0	1	0	0	1


150.005	0	26	13	25	48	43	55	64	146
150.005	1	113	100	125	82	70	118	338	270
150.005	2	97	111	116	89	91	95	324	275
150.005	3	68	45	75	61	50	59	188	170
150.005	4	18	15	27	37	20	36	60	93
150.005	5	4	3	11	9	13	11	18	33
150.005	6	2	1	4	2	1	5	7	8
150.005	7	1	0	0	1	0	3	1	4
150.005	8	0	0	0	0	0	1	0	1


180.007	0	24	16	23	62	52	32	63	146
180.007	1	101	131	102	82	114	74	334	270
180.007	2	126	130	84	83	113	80	340	276
180.007	3	62	71	41	73	53	45	174	171
180.007	4	25	28	12	36	34	21	65	91
180.007	5	9	6	4	11	13	9	19	33
180.007	6	3	0	1	2	2	4	4	8
180.007	7	1	0	0	1	1	2	1	4
180.007	8	0	0	0	1	0	0	0	1


210.004	0	16	20	26	39	45	62	62	146
210.004	1	117	98	127	87	92	92	342	271
210.004	2	113	98	129	89	87	101	340	277
210.004	3	41	66	58	53	52	66	165	171
210.004	4	21	23	22	30	25	37	66	92
210.004	5	4	7	10	10	10	10	21	30
210.004	6	0	2	1	3	4	2	3	9
210.004	7	0	1	0	1	0	2	1	3
210.004	8	0	0	0	0	0	1	0	1


240.007	0	24	15	11	63	37	47	50	147
240.007	1	144	121	85	113	84	74	350	271
240.007	2	147	94	102	131	85	63	343	279
240.007	3	87	48	54	74	48	49	189	171
240.007	4	26	12	13	39	27	24	51	90
240.007	5	6	1	6	12	7	10	13	29
240.007	6	4	0	0	4	3	2	4	9
240.007	7	0	0	0	1	0	2	0	3
240.007	8	0	0	0	1	0	0	0	1


270.003	0	21	27	16	51	56	40	64	147
270.003	1	105	148	106	104	105	65	359	274
270.003	2	105	120	79	91	106	80	304	277
270.003	3	79	59	51	56	66	49	189	171
270.003	4	31	25	13	31	36	22	69	89
270.003	5	9	2	2	12	9	8	13	29
270.003	6	1	0	0	4	2	3	1	9
270.003	7	1	0	0	2	1	0	1	3
270.003	8	0	0	0	1	0	0	0	1


300.013	0	24	18	26	50	46	51	68	147
300.013	1	123	104	120	83	72	120	347	275
300.013	2	108	80	145	89	77	117	333	283
300.013	3	44	48	79	52	49	65	171	166
300.013	4	10	22	29	27	24	36	61	87
300.013	5	4	3	7	8	7	14	14	29
300.013	6	0	2	4	4	0	5	6	9
300.013	7	0	0	0	0	1	2	0	3
300.013	8	0	0	0	0	1	0	0	1


330.001	0	25	11	14	66	35	48	50	149
330.001	1	170	112	101	128	78	67	383	273
330.001	2	144	83	95	132	69	82	322	283
330.001	3	79	31	57	75	41	53	167	169
330.001	4	28	15	13	37	23	24	56	84
